Time Stamp	EMG CH1	EMG CH2
CAL	CAL	CAL
milliseconds	millivolts *	millivolts *
325026.3366699219	-17.8776776247435	-1.800732827273944
325028.2897949219	-17.8776776247435	-1.833283722394751
325030.2429199219	-17.87534569207975	-1.93120085372935
325032.1960449219	-17.87455235416321	-2.014549416051239
325034.1491699219	-17.8758745840241	-2.023179970961408
325036.1022949219	-17.87741317877132	-1.988729872949506
325038.0554199219	-17.87964894926337	-1.989451089237264
325040.0085449219	-17.87950470600582	-1.967069343773843
325041.9616699219	-17.87835075994541	-2.011376064385104
325043.9147949219	-17.87779782745812	-2.054625001107653
325045.8679199219	-17.87575438130948	-2.192209028268937
325047.8210449219	-17.87536973262267	-2.237261005710881
325049.7741699219	-17.87527357045097	-2.055634703910514
325051.7272949219	-17.87534569207975	-1.870234036870881
325053.6804199219	-17.8776776247435	-1.756378025576833
325055.6335449219	-17.87899985460439	-1.78481798785742
325057.5866699219	-17.87991339523555	-1.840207398757227
325059.5397949219	-17.8799614763214	-1.884898768055292
325061.4929199219	-17.87998551686432	-1.871099496416191
325063.4460449219	-17.87820651668785	-1.933268340420923
325065.3991699219	-17.87851904374588	-1.986085413227727
325067.3522949219	-17.8777737869152	-1.982671656132339
325069.3054199219	-17.87707661117037	-1.97408918230802
325071.2585449219	-17.87746125985717	-1.949591869067177
325073.2116699219	-17.87327820538817	-1.947812868890707
325075.1647949219	-17.87914409786194	-1.935071381140317
325077.1179199219	-17.87729297605669	-1.955000991225361
325079.0710449219	-17.88137986835399	-2.022001984358071
325081.0241699219	-17.87875944917513	-2.029238187778575
325082.9772949219	-17.87820651668785	-2.0041398609646
325084.9304199219	-17.87731701659962	-1.951899761188002
325086.8835449219	-17.87575438130948	-1.894563066311248
325088.8366699219	-17.87666792194064	-1.95266905856161
325090.7897949219	-17.87700448954159	-1.996591130486067
325092.7429199219	-17.87710065171329	-2.021809660014668
325094.6960449219	-17.87700448954159	-2.040465121324673
325096.6491699219	-17.87854308428881	-2.008010388375567
325098.6022949219	-17.8752014488222	-1.971372600957465
325100.5554199219	-17.8800576384931	-2.063640204704627
325102.5085449219	-17.87731701659962	-2.091094504725278
325104.4616699219	-17.87705257062744	-2.123116507901729
325106.4147949219	-17.87647559759723	-2.237597573311835
325108.3679199219	-17.87712469225622	-2.19975775874747
325110.3210449219	-17.87589862456703	-2.002865712189561
325112.2741699219	-17.87681216519819	-1.748204240982243
325114.2272949219	-17.8758745840241	-1.725317644117393
325116.1804199219	-17.87904793569024	-1.840640128529882
325118.1335449219	-17.87928834111949	-1.976228790628369
325120.0866699219	-17.87967298980629	-2.020222984181601
325122.0397949219	-17.87887965188976	-1.987407643088616
325123.9929199219	-17.87645155705431	-1.914156108795338
325125.9460449219	-17.87820651668785	-1.860185089928121
325127.8991699219	-17.87440811090566	-1.818354545238163
325129.8522949219	-17.87524952990805	-1.883480376022702
325131.8054199219	-17.87589862456703	-1.930864286128396
325133.7585449219	-17.87642751651138	-2.022386633044875
325135.7116699219	-17.87686024628404	-2.178962689117117
325137.6647949219	-17.87734105714254	-2.224110828730761
325139.6179199219	-17.87803823288738	-2.156773267997098
325141.5710449219	-17.87871136808928	-1.998129725233284
325143.5241699219	-17.87921621949071	-1.871339901845444
325145.4772949219	-17.87534569207975	-1.855665467858172
325147.4304199219	-17.87645155705431	-1.848285021180116
325149.3835449219	-17.87515336773635	-1.900933810186443
325151.3366699219	-17.87621115162506	-1.946346395772266
325153.2897949219	-17.87476871904954	-1.945144368626003
325155.2429199219	-17.87664388139771	-1.958006059091019
325157.1960449219	-17.8782545977737	-1.990869481269854
325159.1491699219	-17.87988935469262	-1.992143630044893
325161.1022949219	-17.87849500320296	-2.053110446903362
325163.0554199219	-17.8774853004001	-2.067150123971715
325165.0085449219	-17.8774853004001	-2.07306409753133
325166.9616699219	-17.87837480048833	-2.0725592461299
325168.9147949219	-17.87719681388499	-1.982070642559208
325170.8679199219	-17.87407154330471	-1.904828378140336
325172.8210449219	-17.87609094891043	-1.834990600942445
325174.7741699219	-17.87717277334207	-1.811983801362968
325176.7272949219	-17.87861520591758	-1.87516234817056
325178.6804199219	-17.87861520591758	-1.909227797495659
325180.6335449219	-17.87827863831663	-2.020559551782555
325182.5866699219	-17.87695640845574	-2.109317236262628
325184.5397949219	-17.87700448954159	-2.173962256188662
325186.4929199219	-17.87683620574111	-2.163144011872293
325188.4460449219	-17.87676408411234	-2.015222551253146
325190.3991699219	-17.8756822596807	-1.924421420624425
325192.3522949219	-17.87693236791281	-1.840327601471853
325194.3054199219	-17.8754899353373	-1.832057654705563
325196.2585449219	-17.87750934094302	-1.871796672161024
325198.2116699219	-17.87700448954159	-1.990412710954274
325200.1647949219	-17.87765358420057	-2.058519569061546
325202.1179199219	-17.87702853008452	-2.100205870493953
325204.0710449219	-17.87645155705431	-2.046258892169662
325206.0241699219	-17.87762954365765	-1.971156236071138
325207.9772949219	-17.87404750276178	-1.979474263923279
325209.9304199219	-17.87469659742077	-1.993249495019455
325211.8835449219	-17.87719681388499	-1.969184911551266
325213.8366699219	-17.87580246239533	-1.914636919653843
325215.7897949219	-17.87724489497084	-1.884057349052908
325217.7429199219	-17.87791803017275	-1.900573202042564
325219.6960449219	-17.87837480048833	-1.975555655426461
325221.6491699219	-17.87760550311472	-2.137564874199813
325223.6022949219	-17.87741317877132	-2.253416250556658
325225.5554199219	-17.8757784218524	-2.089772274864389
325227.5085449219	-17.8759707461958	-1.962838208218997
325229.4616699219	-17.87532165153682	-1.914156108795338
325231.4147949219	-17.87616307053921	-1.90978072998294
325233.3679199219	-17.87573034076655	-1.920358568870056
325235.3210449219	-17.87645155705431	-1.884393916653862
325237.2741699219	-17.87789398962983	-1.886148876287406
325239.2272949219	-17.8782545977737	-1.936465732629983
325241.1804199219	-17.87859116537466	-1.989258764893862
325243.1335449219	-17.87803823288738	-1.999716401066351
325245.0866699219	-17.87664388139771	-2.049504365464572
325247.0397949219	-17.87585054348118	-1.954880788510734
325248.9929199219	-17.87606690836751	-1.902111796789781
325250.9460449219	-17.87561013805193	-1.922377974475778
325252.8991699219	-17.87753338148595	-2.007890185660941
325254.8522949219	-17.87695640845574	-2.035801255997172
325256.8054199219	-17.87847096266003	-1.988321183719776
325258.7585449219	-17.87863924646051	-1.990460792040125
325260.7116699219	-17.87746125985717	-2.031882647500354
325262.6647949219	-17.87772570582935	-2.104893776364379
325264.6179199219	-17.87789398962983	-2.091767639927185
325266.5710449219	-17.87654771922601	-2.009188374978905
325268.5241699219	-17.87690832736989	-2.024598362993999
325270.4772949219	-17.87395134059008	-2.047388797687149
325272.4304199219	-17.87460043524906	-1.967141465402619
325274.3835449219	-17.87681216519819	-1.956707869773054
325276.3366699219	-17.87827863831663	-1.946346395772266
325278.2897949219	-17.87695640845574	-1.934951178425691
325280.2429199219	-17.87676408411234	-1.920887460814412
325282.1960449219	-17.87772570582935	-1.900404918242087
325284.1491699219	-17.87791803017275	-1.856026076002051
325286.1022949219	-17.87912005731901	-1.871099496416191
325288.0554199219	-17.87746125985717	-1.916680365802491
325290.0085449219	-17.875586097509	-1.947283976946351
325291.9616699219	-17.87705257062744	-1.941826773702316
325293.9147949219	-17.87604286782458	-1.981036899213421
325295.8679199219	-17.8752014488222	-2.078857868376319
325297.8210449219	-17.87710065171329	-2.158816714145745
325299.7741699219	-17.87844692211711	-2.110086533636236
325301.7272949219	-17.87690832736989	-2.008972010092577
325303.6804199219	-17.87791803017275	-1.902448364390735
325305.6335449219	-17.87698044899867	-1.859992765584719
325307.5866699219	-17.87585054348118	-1.891317593016338
325309.5397949219	-17.87695640845574	-1.897856620692009
325311.4929199219	-17.87532165153682	-1.970218654897053
325313.4460449219	-17.87621115162506	-2.102081032842123
325315.3991699219	-17.87774974637227	-2.105518830480436
325317.3522949219	-17.87762954365765	-2.107081465770579
325319.3054199219	-17.87683620574111	-2.124270453962142
325321.2585449219	-17.8777737869152	-2.041859472814338
325323.2116699219	-17.87592266510995	-1.984402575222958
325325.1647949219	-17.87919217894779	-2.02967091755123
325327.1179199219	-17.87729297605669	-2.060058163808763
325329.0710449219	-17.87676408411234	-2.04976881143675
325331.0241699219	-17.87431194873396	-2.026713930771422
325332.9772949219	-17.87496104339294	-1.954760585796108
325334.9304199219	-17.87616307053921	-1.840399723100629
325336.8835449219	-17.87717277334207	-1.818835356096668
325338.8366699219	-17.87991339523555	-1.829677640955962
325340.7897949219	-17.8779661112586	-1.855232738085517
325342.7429199219	-17.87948066546289	-1.879802172955136
325344.6960449219	-17.87820651668785	-1.968511776349359
325346.6491699219	-17.87832671940248	-1.993345657191156
325348.6022949219	-17.87613902999628	-1.963895992107708
325350.5554199219	-17.87491296230709	-1.935191583854944
325352.5085449219	-17.87637943542553	-1.938701503122032
325354.4616699219	-17.87505720556464	-1.993586062620409
325356.4147949219	-17.87791803017275	-1.986710467343783
325358.3679199219	-17.8779661112586	-1.974594033709451
325360.3210449219	-17.87991339523555	-1.985292075311193
325362.2741699219	-17.87919217894779	-2.020511470696704
325364.2272949219	-17.87842288157418	-2.012722334788919
325366.1804199219	-17.87719681388499	-2.075588354538483
325368.1335449219	-17.87688428682696	-2.083882341847699
325370.0866699219	-17.87573034076655	-2.054649041650578
325372.0397949219	-17.87635539488261	-2.066476988769808
325373.9929199219	-17.87719681388499	-2.018828632691936
325375.9460449219	-17.87484084067832	-2.03520024242404
325377.8991699219	-17.87789398962983	-1.953630680278621
325379.8522949219	-17.87784590854397	-1.886773930403463
325381.8054199219	-17.87772570582935	-1.840640128529882
325383.7585449219	-17.87854308428881	-1.873647793966269
325385.7116699219	-17.87710065171329	-2.009717266923261
325387.6647949219	-17.87736509768547	-2.054600960564728
325389.6179199219	-17.87681216519819	-1.984642980652211
325391.5710449219	-17.87700448954159	-1.941538287187213
325393.5241699219	-17.87765358420057	-1.944495273967021
325395.4772949219	-17.8758745840241	-2.000870347126764
325397.4304199219	-17.88022592229358	-2.010053834524214
325399.3835449219	-17.87772570582935	-2.050441946638657
325401.3366699219	-17.88012976012187	-2.008539280319923
325403.2897949219	-17.87681216519819	-1.93302793499167
325405.2429199219	-17.87724489497084	-2.002673387846158
325407.1960449219	-17.87856712483173	-1.993970711307213
325409.1491699219	-17.87652367868309	-1.976300912257144
325411.1022949219	-17.87464851633491	-1.954424018195154
325413.0554199219	-17.87657175976894	-2.028733336377144
325415.0085449219	-17.87664388139771	-2.037916823774595
325416.9616699219	-17.87847096266003	-2.110302898522564
325418.9147949219	-17.87890369243269	-2.022314511416099
325420.8679199219	-17.87676408411234	-1.96180446487321
325422.8210449219	-17.87690832736989	-1.993321616648231
325424.7741699219	-17.878158435602	-2.014284970079061
325426.7272949219	-17.875586097509	-1.984354494137108
325428.6804199219	-17.87510528665049	-1.913482973593431
325430.6335449219	-17.87298971887307	-1.86415177951079
325432.5866699219	-17.87647559759723	-1.876869226718254
325434.5397949219	-17.87712469225622	-1.872181320847828
325436.4929199219	-17.87799015180153	-1.878503983637172
325438.4460449219	-17.87688428682696	-1.924108893566397
325440.3991699219	-17.87880753026099	-1.921969285246049
325442.3522949219	-17.8777737869152	-1.941321922300886
325444.3054199219	-17.87736509768547	-1.989763616295292
325446.2585449219	-17.87464851633491	-1.97180533073012
325448.2116699219	-17.87575438130948	-2.03794086431752
325450.1647949219	-17.8756822596807	-2.039984310466167
325452.1179199219	-17.87399942167593	-1.974017060679244
325454.0710449219	-17.87532165153682	-1.918627649779437
325456.0241699219	-17.87820651668785	-1.884297754482161
325457.9772949219	-17.87899985460439	-1.916944811774669
325459.9304199219	-17.87799015180153	-1.948654287893091
325461.8835449219	-17.87960086817752	-1.987167237659363
325463.8366699219	-17.87791803017275	-2.001880049929625
325465.7897949219	-17.87861520591758	-2.048638905919263
325467.7429199219	-17.8774853004001	-2.032555782702261
325469.6960449219	-17.87789398962983	-1.996494968314366
325471.6491699219	-17.87700448954159	-1.978224155691165
325473.6022949219	-17.8753937731656	-2.116553439683132
325475.5554199219	-17.87726893551377	-2.185333432992311
325477.5085449219	-17.87984127360677	-2.17011576932062
325479.4616699219	-17.87688428682696	-2.023083808789707
325481.4147949219	-17.87760550311472	-1.890860822700758
325483.3679199219	-17.87803823288738	-1.993970711307213
325485.3210449219	-17.87738913822839	-2.093690883361206
325487.2741699219	-17.87724489497084	-2.216465936080528
325489.2272949219	-17.8758745840241	-2.118957493975659
325491.1804199219	-17.87741317877132	-1.878840551238126
325493.1335449219	-17.87565821913778	-1.769960932329607
325495.0866699219	-17.8782545977737	-1.735462753231854
325497.0397949219	-17.87988935469262	-1.781596555105434
325498.9929199219	-17.87912005731901	-1.895692971828736
325500.9460449219	-17.87981723306385	-1.950553490784187
325502.8991699219	-17.87729297605669	-1.953798964079098
325504.8522949219	-17.87839884103126	-1.951154504357319
325506.8054199219	-17.87599478673873	-1.917666028062426
325508.7585449219	-17.8756822596807	-1.966203884228534
325510.7116699219	-17.87604286782458	-2.013924361935182
325512.6647949219	-17.87628327325383	-2.001158833641867
325514.6179199219	-17.87714873279914	-2.006664117971752
325516.5710449219	-17.8780622734303	-2.016328416227708
325518.5241699219	-17.87774974637227	-2.045946365111633
325520.4772949219	-17.87904793569024	-2.028420809319116
325522.4304199219	-17.88010571957895	-1.948990855494045
325524.3835449219	-17.8759707461958	-1.934542489195962
325526.3366699219	-17.87544185425145	-1.918651690322362
325528.2897949219	-17.87666792194064	-1.899900066840657
325530.2429199219	-17.8758745840241	-1.890884863243683
325532.1960449219	-17.87599478673873	-1.901029972358144
325534.1491699219	-17.87760550311472	-1.934422286481335
325536.1022949219	-17.87851904374588	-1.967670357346975
325538.0554199219	-17.87801419234445	-2.062534339730065
325540.0085449219	-17.88029804392235	-2.12366944038901
325541.9616699219	-17.87868732754636	-2.181727351553522
325543.9147949219	-17.87950470600582	-2.23259714038338
325545.8679199219	-17.8779661112586	-2.117827588458171
325547.8210449219	-17.87561013805193	-2.026954336200675
325549.7741699219	-17.87688428682696	-1.856795373375659
325551.7272949219	-17.87936046274827	-1.794602488828002
325553.6804199219	-17.87832671940248	-1.793304299510038
325555.6335449219	-17.87772570582935	-1.801285759761225
325557.5866699219	-17.88073077369501	-1.825518627029891
325559.5397949219	-17.88056248989453	-1.939494841038566
325561.4929199219	-17.87811035451615	-1.968055006033779
325563.4460449219	-17.87801419234445	-2.018371862376356
325565.3991699219	-17.8799614763214	-2.132708684528909
325567.3522949219	-17.87765358420057	-2.120183561664847
325569.3054199219	-17.87688428682696	-2.018852673234861
325571.2585449219	-17.87371093516083	-1.987407643088616
325573.2116699219	-17.87486488122124	-1.982479331788937
325575.1647949219	-17.87700448954159	-1.980748412698318
325577.1179199219	-17.87827863831663	-1.899827945211881
325579.0710449219	-17.87957682763459	-1.839726587898722
325581.0241699219	-17.8800576384931	-1.94216334130327
325582.9772949219	-17.87827863831663	-2.065851934653751
325584.9304199219	-17.87895177351854	-2.091623396669634
325586.8835449219	-17.87736509768547	-2.016136091884306
325588.8366699219	-17.87755742202887	-1.926344664058447
325590.7897949219	-17.87695640845574	-1.890836782157832
325592.7429199219	-17.87676408411234	-1.958126261805645
325594.6960449219	-17.87695640845574	-1.890836782157832
325596.6491699219	-17.87981723306385	-1.950024598839831
325598.6022949219	-17.88142794943984	-1.867301090633999
325600.5554199219	-17.88073077369501	-1.842972061193632
325602.5085449219	-17.88097117912426	-1.861891968475815
325604.4616699219	-17.87964894926337	-1.925094555826333
325606.4147949219	-17.87859116537466	-1.996470927771441
325608.3679199219	-17.87794207071568	-2.039912188837392
325610.3210449219	-17.87705257062744	-2.026810092943123
325612.2741699219	-17.87729297605669	-1.973343925477337
325614.2272949219	-17.87887965188976	-1.928748718350973
325616.1804199219	-17.87875944917513	-1.961972748673687
325618.1335449219	-17.87897581406146	-1.949712071781803
325620.0866699219	-17.87969703034922	-1.949615909610102
325622.0397949219	-17.88073077369501	-1.968896425036163
325623.9929199219	-17.87861520591758	-1.983104385904994
325625.9460449219	-17.87640347596846	-2.067053961800014
325627.8991699219	-17.87541781370852	-2.044503932536117
325629.8522949219	-17.8752976109939	-1.951130463814393
325631.8054199219	-17.87621115162506	-1.882037943447186
325633.7585449219	-17.87452831362029	-1.885644024885975
325635.7116699219	-17.87623519216798	-1.926585069487699
325637.6647949219	-17.87551397588022	-1.977406777231707
325639.6179199219	-17.87693236791281	-2.056668447256301
325641.5710449219	-17.8782545977737	-2.148960091546388
325643.5241699219	-17.87700448954159	-2.192665798584517
325645.4772949219	-17.87604286782458	-2.231899964638547
325647.4304199219	-17.87431194873396	-2.218220895714072
325649.3835449219	-17.87356669190328	-2.101648303069469
325651.3366699219	-17.87383113787546	-1.865353806657053
325653.2897949219	-17.87642751651138	-1.685001653631725
325655.2429199219	-17.87895177351854	-1.67949636930184
325657.1960449219	-17.87536973262267	-1.736809023635668
325659.1491699219	-17.8776776247435	-1.845880966887589
325661.1022949219	-17.8758745840241	-1.906751621574357
325663.0554199219	-17.8759707461958	-2.009500902036933
325665.0085449219	-17.87613902999628	-2.149585145662444
325666.9616699219	-17.87652367868309	-2.201296353494687
325668.9147949219	-17.87556205696607	-2.139632360891385
325670.8679199219	-17.87383113787546	-1.949952477211055
325672.8210449219	-17.87508124610757	-1.850112102442436
325674.7741699219	-17.87452831362029	-1.912353068075943
325676.7272949219	-17.87623519216798	-1.981133061385122
325678.6804199219	-17.87832671940248	-1.962044870302463
325680.6335449219	-17.87835075994541	-1.855833751658649
325682.5866699219	-17.87811035451615	-1.827345708292211
325684.5397949219	-17.87671600302649	-1.820710518444838
325686.4929199219	-17.8754899353373	-1.8628295496499
325688.4460449219	-17.87714873279914	-1.913242568164178
325690.3991699219	-17.87496104339294	-1.995605468226131
325692.3522949219	-17.87428790819104	-2.033661647676823
325694.3054199219	-17.87551397588022	-2.036546512827855
325696.2585449219	-17.87565821913778	-2.055586622824664
325698.2116699219	-17.87534569207975	-2.083858301304774
325700.1647949219	-17.87736509768547	-2.013131024018648
325702.1179199219	-17.87532165153682	-1.965963478799281
325704.0710449219	-17.87678812465526	-1.954231693851752
325706.0241699219	-17.87460043524906	-1.932763489019492
325707.9772949219	-17.87460043524906	-1.884153511224609
325709.9304199219	-17.87460043524906	-1.821095167131643
325711.8835449219	-17.87484084067832	-1.860257211556897
325713.8366699219	-17.87496104339294	-1.908554662293751
325715.7897949219	-17.87712469225622	-1.964521046223765
325717.7429199219	-17.87873540863221	-1.958631113207076
325719.6960449219	-17.87712469225622	-2.005990982769845
325721.6491699219	-17.87698044899867	-2.094676545621142
325723.6022949219	-17.87481680013539	-2.147565740056722
325725.5554199219	-17.87743721931425	-2.073881475990789
325727.5085449219	-17.87474467850662	-2.077679881772981
325729.4616699219	-17.87500912447879	-2.096599789055163
325731.4147949219	-17.87556205696607	-2.079723327921629
325733.3679199219	-17.87585054348118	-1.992888886875576
325735.3210449219	-17.87791803017275	-1.785995974460758
325737.2741699219	-17.87664388139771	-1.778086635838346
325739.2272949219	-17.87933642220534	-1.898601877522692
325741.1804199219	-17.87875944917513	-1.986349859199904
325743.1335449219	-17.87700448954159	-1.961155370214228
325745.0866699219	-17.87613902999628	-1.898217228835888
325747.0397949219	-17.87575438130948	-1.896438228659419
325748.9929199219	-17.87332628647403	-2.02880545800592
325750.9460449219	-17.87563417859485	-2.114389790819859
325752.8991699219	-17.87443215144859	-2.024502200822298
325754.8522949219	-17.87536973262267	-2.001279036356493
325756.8054199219	-17.87573034076655	-1.939398678866865
325758.7585449219	-17.87964894926337	-1.89886632349487
325760.7116699219	-17.87849500320296	-1.874873861655457
325762.6647949219	-17.87717277334207	-1.893168714821583
325764.6179199219	-17.87649963814016	-1.838957290525113
325766.5710449219	-17.87837480048833	-1.866050982401886
325768.5241699219	-17.87609094891043	-1.923411717821564
325770.4772949219	-17.87527357045097	-1.976950006916127
325772.4304199219	-17.87669196248356	-2.076429773540867
325774.3835449219	-17.87460043524906	-2.223365571900078
325776.3366699219	-17.87486488122124	-2.215624517078143
325778.2897949219	-17.87789398962983	-2.105470749394585
325780.2429199219	-17.8779661112586	-1.96043415392647
325782.1960449219	-17.87799015180153	-1.826263883860574
325784.1491699219	-17.87794207071568	-1.854944251570414
325786.1022949219	-17.87527357045097	-1.838716885095861
325788.0554199219	-17.87580246239533	-1.91978159583985
325790.0085449219	-17.87534569207975	-1.966492370743637
325791.9616699219	-17.8757784218524	-1.953101788334265
325793.9147949219	-17.87674004356941	-1.964905694910569
325795.8679199219	-17.87431194873396	-1.962116991931239
325797.8210449219	-17.87899985460439	-1.931152772643499
325799.7741699219	-17.87945662491997	-1.874849821112532
325801.7272949219	-17.87635539488261	-1.863069955079153
325803.6804199219	-17.87844692211711	-2.048158095060757
325805.6335449219	-17.87496104339294	-2.083593855332596
325807.5866699219	-17.8758745840241	-2.038421675176025
325809.5397949219	-17.87623519216798	-1.980628209983692
325811.4929199219	-17.87383113787546	-1.969785925124398
325813.4460449219	-17.87726893551377	-1.983008223733293
325815.3991699219	-17.8752014488222	-1.960650518812798
325817.3522949219	-17.87683620574111	-1.900573202042564
325819.3054199219	-17.8777737869152	-1.833740492710331
325821.2585449219	-17.87611498945336	-1.824701248570432
325823.2116699219	-17.87488892176417	-1.818162220894761
